"","stat1","ifngr","factor.stat1","factor.ifngr"
"1",2697508.41272856,4750363.07272487,152490,144.902184362179
"2",2697508.41272856,2872873.82866177,152490,87.632394997387
"3",2697508.41272856,4544968.14508972,152490,138.636942481589
"4",2697508.41272856,5423640.83770697,152490,165.439439585585
"5",2697508.41272856,3979087.70563133,152490,121.375669919886
"6",2697508.41272856,3708766.37579465,152490,113.129952577158
"7",2697508.41272856,5748648.34393131,152490,175.35327077386
"8",2697508.41272856,2976856.35929589,152490,90.8042148338336
"9",2697508.41272856,2557910.58176892,152490,78.0249477833789
"10",2697508.41272856,3034026.97600944,152490,92.5481125351884
"11",2697508.41272856,5240021.33212063,152490,159.838421927854
"12",2697508.41272856,2323676.13448062,152490,70.8800027454256
"13",2697508.41272856,4158717.4678248,152490,126.854986873098
"14",2697508.41272856,4394370.9682474,152490,134.043217844303
"15",2697508.41272856,4965562.31185477,152490,151.466490994244
"16",2697508.41272856,4507836.67627706,152490,137.504306753086
"17",2697508.41272856,4697315.95867299,152490,143.28406747668
"18",2697508.41272856,11460506.502029,152490,349.584316107525
"19",2697508.41272856,8059412.69216794,152490,245.839420249098
"20",2697508.41272856,4641820.61168554,152490,141.591271183574
"21",2697508.41272856,9125368.41839563,152490,278.354685040251
"22",2697508.41272856,4697301.46282352,152490,143.283625304109
"23",2697508.41272856,3990846.56027704,152490,121.734354866211
"24",2697508.41272856,3303115.00526196,152490,100.756210027416
"25",2697508.41272856,7799367.54828226,152490,237.9071614291
"26",2697508.41272856,4718592.0135458,152490,143.93305930709
"27",2697508.41272856,2370102.41136616,152490,72.2961616430779
"28",2697508.41272856,3142480.53505885,152490,95.8563139015944
"29",2697508.41272856,6325219.17131702,152490,192.940636423319
"30",2697508.41272856,6127922.72571613,152490,186.922425710414
"31",2697508.41272856,4400183.87222797,152490,134.220531129915
"32",2697508.41272856,3831073.29647902,152490,116.860728456487
"33",2697508.41272856,2764014.02711506,152490,84.3118018570604
"34",2697508.41272856,4834555.65497578,152490,147.470343656212
"35",2697508.41272856,5331744.388512,152490,162.636286222438
"36",2697508.41272856,8756333.17806898,152490,267.097858643763
"37",2697508.41272856,4944065.75450245,152490,150.810773090384
"38",2697508.41272856,2549409.3981059,152490,77.7656328502722
"39",2697508.41272856,8821437.33380972,152490,269.08375619169
"40",2697508.41272856,2672929.24374832,152490,81.5334070544027
"41",2697508.41272856,8548911.04002457,152490,260.770779970497
"42",2697508.41272856,2205096.82071921,152490,67.2629315192592
"43",2697508.41272856,7058665.59360902,152490,215.313239753989
"44",2697508.41272856,3296858.28525377,152490,100.56535884778
"45",2697508.41272856,2350106.91311119,152490,71.6862311324625
"46",2697508.41272856,2679107.11361266,152490,81.7218530372344
"47",2697508.41272856,3541493.88862832,152490,108.02757442142
"48",2697508.41272856,2248915.76639168,152490,68.5995579722656
"49",2697508.41272856,5056468.38332244,152490,154.239434477887
"50",2697508.41272856,4798462.71953609,152490,146.369386717724
"51",2697508.41272856,3936161.52114759,152490,120.066275710896
"52",2697508.41272856,2939301.21845028,152490,89.6586556714605
"53",2697508.41272856,5342131.78021563,152490,162.953136897773
"54",2697508.41272856,5069502.94215912,152490,154.637032728529
"55",2697508.41272856,2511516.01023125,152490,76.6097560063639
"56",2697508.41272856,6983504.0827761,152490,213.02055876668
"57",2697508.41272856,5365522.78970922,152490,163.666642016891
"58",2697508.41272856,3064207.93543013,152490,93.4687341548946
"59",2697508.41272856,3713507.06770441,152490,113.274559758251
"60",2697508.41272856,5523513.30159692,152490,168.485888447226
"61",2697508.41272856,2830373.01843071,152490,86.3359761457411
"62",2697508.41272856,7137364.30658703,152490,217.713817402987
"63",2697508.41272856,14341817.5602305,152490,437.474075220361
"64",2697508.41272856,5507261.38839976,152490,167.990149977076
"65",2697508.41272856,3748643.27182023,152490,114.346333146649
"66",2697508.41272856,5027043.02332655,152490,153.341861203218
"67",2697508.41272856,6264441.50000111,152490,191.086711323427
"68",2697508.41272856,5800976.89960267,152490,176.949469191795
"69",2697508.41272856,5825254.17958259,152490,177.690008566493
"70",2697508.41272856,2245673.13504106,152490,68.5006467188323
"71",2697508.41272856,2766614.89497471,152490,84.3911371475069
"72",2697508.41272856,4045469.08238544,152490,123.40052704036
"73",2697508.41272856,5345096.73194274,152490,163.043577980951
"74",2697508.41272856,4676572.65403631,152490,142.651326335271
"75",2697508.41272856,4666585.08937582,152490,142.346671740747
"76",2697508.41272856,4123744.19528117,152490,125.788183450227
"77",2697508.41272856,3328234.67033218,152490,101.522445004279
"78",2697508.41272856,2960486.11342742,152490,90.3048668158881
"79",2697508.41272856,3228411.55048788,152490,98.4775013033783
"80",2697508.41272856,2271612.61820078,152490,69.2918889278018
"81",2697508.41272856,2598050.83671674,152490,79.2493616931682
"82",2697508.41272856,5059276.0734498,152490,154.325078548926
"83",2697508.41272856,3185840.27738953,152490,97.1789330953085
"84",2697508.41272856,5024939.45031117,152490,153.277695092075
"85",2697508.41272856,5100730.52204516,152490,155.589579821995
"86",2697508.41272856,2771466.52437701,152490,84.5391282983615
"87",2697508.41272856,2997817.99963436,152490,91.4436159546234
"88",2697508.41272856,1471970.14577896,152490,44.9000815672265
"89",2697508.41272856,2088137.31531233,152490,63.6952699414136
"90",2697508.41272856,4706127.95932244,152490,143.552863381995
"91",2697508.41272856,4502338.2161003,152490,137.336585069913
"92",2697508.41272856,2530106.3632213,152490,77.1768248209118
"93",2697508.41272856,4710462.44348994,152490,143.685079849313
"94",2697508.41272856,3021103.8682467,152490,92.1539139202825
"95",2697508.41272856,3510085.94172023,152490,107.069525522075
"96",2697508.41272856,6936146.15871724,152490,211.575981470602
"97",2697508.41272856,3002748.2076125,152490,91.5940040185366
"98",2697508.41272856,5387609.99733441,152490,164.340376757237
"99",2697508.41272856,3380085.38893943,152490,103.104067771196
"100",2697508.41272856,4772981.47113539,152490,145.592122222987
"101",2697508.41272856,4605920.81311478,152490,140.496205574603
"102",2697508.41272856,4890531.21469245,152490,149.17778806618
"103",2697508.41272856,4112443.23596406,152490,125.443465864356
"104",2697508.41272856,2790384.27232716,152490,85.1161837695376
"105",2697508.41272856,3627977.97683936,152490,110.665632418777
"106",2697508.41272856,5297999.78130651,152490,161.606961259343
"107",2697508.41272856,4560193.22168783,152490,139.101358952998
"108",2697508.41272856,2942370.66320559,152490,89.7522841463822
"109",2697508.41272856,4142311.7857075,152490,126.354557929383
"110",2697508.41272856,4604442.5479137,152490,140.4511134725
"111",2697508.41272856,2546705.87835413,152490,77.683166328977
"112",2697508.41272856,4631559.13194784,152490,141.278261250224
"113",2697508.41272856,6085838.51152484,152490,185.638714450848
"114",2697508.41272856,3129471.96293797,152490,95.4595083339165
"115",2697508.41272856,5484881.09663919,152490,167.307475176619
"116",2697508.41272856,5933707.39576172,152490,180.998199474192
"117",2697508.41272856,3997752.78333146,152490,121.945018091518
"118",2697508.41272856,2703982.93037942,152490,82.4806498138414
"119",2697508.41272856,1608530.77011177,152490,49.0656437486318
"120",2697508.41272856,4253842.11238534,152490,129.756611143176
"121",2697508.41272856,1961632.34515152,152490,59.836439315556
"122",2697508.41272856,5704174.78015953,152490,173.996676248717
"123",2697508.41272856,5028303.04802162,152490,153.380296229735
"124",2697508.41272856,3295285.65509567,152490,100.517388294453
"125",2697508.41272856,3922544.24723359,152490,119.650902674143
"126",2697508.41272856,3422811.63333374,152490,104.40736312937
"127",2697508.41272856,3544147.36184424,152490,108.108514353642
"128",2697508.41272856,3955367.09594701,152490,120.652110877127
"129",2697508.41272856,3928345.7348922,152490,119.827867723217
"130",2697508.41272856,3136726.03114194,152490,95.6807820159857
"131",2697508.41272856,3450339.84130453,152490,105.247066833167
"132",2697508.41272856,2256653.61130842,152490,68.8355884847814
"133",2697508.41272856,2030085.49469894,152490,61.9244925325498
"134",2697508.41272856,4028244.10400651,152490,122.875106782058
"135",2697508.41272856,4150307.46147417,152490,126.598453157243
"136",2697508.41272856,4135856.14022815,152490,126.157638848229
"137",2697508.41272856,2622293.71997725,152490,79.988851851269
"138",2697508.41272856,4478793.78217858,152490,136.618399985405
"139",2697508.41272856,5644258.63600894,152490,172.169030649199
"140",2697508.41272856,4181886.47802522,152490,127.561720260874
"141",2697508.41272856,2598245.77522882,152490,79.2553079789118
"142",2697508.41272856,6688161.71240802,152490,204.011614830003
"143",2697508.41272856,2901880.19257529,152490,88.5171874705363
"144",2697508.41272856,3009546.19452839,152490,91.8013656745401
"145",2697508.41272856,3024797.28125748,152490,92.2665755431565
"146",2697508.41272856,3236678.93656399,152490,98.7296846171701
"147",2697508.41272856,5430806.07976307,152490,165.658003768894
"148",2697508.41272856,3143133.43465883,152490,95.8762295536734
"149",2697508.41272856,6908301.24161814,152490,210.726617064287
"150",2697508.41272856,5880283.43420407,152490,179.368587461705
"151",2697508.41272856,2941651.28639706,152490,89.7303407139877
"152",2697508.41272856,5496890.05438623,152490,167.673789115747
"153",2697508.41272856,3348960.85264903,152490,102.154663856865
"154",2697508.41272856,3163820.22744893,152490,96.5072468921048
